Datetime,SMA
2018-01-01 04:34:10.320672,6864.69146300569
2018-01-01 12:37:36.596064,6864.68966409483
2018-01-01 20:31:55.898112,6864.68858474888
2018-01-02 05:42:49.014720,6864.68492696854
2018-01-02 12:13:01.263360,6864.68285822608
2018-01-02 21:38:45.514752,6864.68126919307
2018-01-03 05:20:51.018144,6864.67842092867
2018-01-03 13:20:01.716288,6864.67590246575
2018-01-03 21:10:25.002048,6864.67398363842
2018-01-04 04:56:39.177600,6864.67026591428
2018-01-04 12:56:40.436160,6864.66798731165
2018-01-04 20:53:42.523584,6864.66651821358
2018-01-05 04:32:31.251840,6864.6637898907
2018-01-05 12:36:09.598176,6864.66163121956
2018-01-05 20:30:33.982272,6864.66073177376
2018-01-06 05:40:04.579968,6864.65812338259
2018-01-06 12:25:38.000352,6864.65647440094
2018-01-06 21:36:58.337280,6864.65572486416
2018-01-07 05:19:10.643808,6864.65422579121
2018-01-07 13:18:24.823872,6864.65248686761
2018-01-07 21:08:42.376992,6864.65185725761
2018-01-08 04:55:00.108768,6864.64987848427
2018-01-08 12:50:05.271072,6864.64813956343
2018-01-08 20:52:05.453184,6864.64750995443
2018-01-09 04:30:52.322112,6864.64508146392
2018-01-09 12:25:50.296800,6864.64337252744
2018-01-09 20:28:37.763040,6864.64256303158
2018-01-10 05:38:20.225184,6864.63821574311
2018-01-10 12:02:02.905728,6864.63632692337
2018-01-10 21:35:20.584320,6864.63479787977
2018-01-11 05:17:28.577760,6864.63200962598
2018-01-11 13:15:36.999648,6864.63000088576
2018-01-11 16:28:03.759168,6864.62892156326
2018-01-11 21:06:57.347424,6864.62838190217
2018-01-12 04:53:19.902912,6864.62472420203
2018-01-12 12:53:16.965888,6864.62220578837
2018-01-12 20:43:34.937184,6864.62070673371
2018-01-13 04:29:09.562272,6864.61785853212
2018-01-13 12:29:12.757920,6864.61605966948
2018-01-13 21:54:47.253024,6864.61525018168
2018-01-14 05:36:26.960832,6864.61255189073
2018-01-14 12:08:04.966656,6864.61063310767
2018-01-14 21:34:36.603264,6864.60949383086
2018-01-15 05:15:54.684288,6864.60658567904
2018-01-15 13:15:05.974272,6864.60424716744
2018-01-15 21:06:49.756320,6864.60286804615
